id,predicted_price
2591820310,366580.94
7974200820,851632.9
7701450110,1101876.5
9522300010,1635338.0
9510861140,703966.25
1761300310,247091.17
7732410120,778287.6
7010701383,633161.5
291310170,434829.6
4232901990,559550.56
6840701125,641121.9
3971700580,419606.03
4202400078,241185.05
6064800090,357309.28
2626119028,228295.36
3303980660,1047371.75
862000020,914166.44
2386000070,939351.3
1138000450,372287.75
1775800420,472975.1
2291401425,423666.06
2025770560,884891.2
3525069037,627394.75
9324800450,498875.75
8080400136,523340.12
8651540040,504558.06
9407001790,253177.66
1773101530,205910.12
9432900250,339179.7
1794500695,621226.56
2220069003,318869.3
923000120,512287.22
5728000060,535218.2
16000200,263809.03
1926059094,421328.7
6672900220,955559.06
3629860060,893762.56
1822069109,402483.06
6675500105,370956.94
249000180,1896236.8
226059065,475123.4
396100110,255586.39
9264450460,328351.9
7853361210,390522.03
9474700020,272043.66
421000455,269441.78
3755200220,414011.3
7960100075,483410.72
9477100490,435400.56
9138100350,779868.7
1624049275,461788.22
2770606890,488131.38
1157200189,379129.0
2770601800,588055.5
9301300805,546841.44
2325069032,1244454.0
1021079099,362833.3
7215730040,746085.1
1853200080,475259.8
3224600340,678940.56
3222049120,399702.97
2113700025,307485.84
7893207925,212209.94
3586501085,527096.75
8024200010,350895.2
7116500705,183084.44
1598600209,320039.78
7204200025,796700.1
4206901505,591292.44
2937300440,922461.75
7205000180,364294.38
8718500665,355885.38
5318101765,953521.75
4122700020,852504.8
8078700020,516715.97
3303980680,924272.25
8924100372,1165784.2
2781270210,215708.27
519000043,555227.9
3225069301,1498669.5
151000075,741186.1
2297400020,415879.9
6617500085,727575.0
104510180,243158.31
3528900060,1025998.6
3345100286,522217.88
1226039130,436050.06
8712100720,775617.2
3037200010,390965.12
3626039268,441043.7
104510230,247350.98
5112800060,413645.84
6072400280,637354.44
5317100570,1190590.4
9528102993,495193.2
2919201095,528635.2
6181400920,254419.08
185000161,242214.02
8691400010,767708.4
3345700165,542855.5
6151800486,215520.12
4340000080,1186391.0
4136960010,513910.34
3634100030,306189.5
1624059224,1084956.0
2788400090,250590.55
9828200762,430810.88
7524400250,548706.94
3528000290,728131.0
5700003630,1810168.0
2720069019,285993.1
7227501170,241594.6
2397101270,603259.5
6792100090,736744.2
2770602265,555315.25
3971700937,282886.06
422049203,209977.97
3076500830,282084.34
1423400260,305821.5
9161100795,494748.97
3126049052,505907.66
5100401468,375581.75
514500235,422368.66
1423200170,184327.62
1402100070,396093.5
624110020,748066.5
2407000145,190656.62
1890000225,827786.4
1320069271,315255.66
5490700085,347551.44
263000155,453364.16
3726800201,460425.44
5153200358,292514.56
2725079018,732639.06
7165700200,255675.62
9429000170,607977.0
8718500075,373820.75
1760650950,319409.22
1068000559,1235756.9
4113800500,647815.0
4077800507,553962.2
2725069150,715523.5
4008400035,729110.06
7016310270,445049.2
1432701230,219544.02
3278606050,351595.62
2473350710,372469.56
2185000685,137458.84
7792000025,399725.84
6868200029,479714.66
624069003,735957.0
7431500280,775697.9
3296000040,533304.44
1118001215,1497640.8
6453900040,674210.4
333100209,749742.06
34001765,658160.94
8946700100,379809.0
5561401210,605136.75
6671900095,370023.1
3275850020,761830.6
3876300600,411742.5
1450900020,267016.0
8562780280,322962.97
7663700973,309596.2
2126049032,374922.9
1823059159,179074.02
3438503426,317339.72
9297301495,490537.06
7140700850,383699.78
7942601805,637304.56
2555900030,352670.25
2887970040,276256.6
7419700010,622977.4
2239000011,358708.75
9283800050,327239.0
9407001340,274815.8
217500140,495529.53
7212660520,250663.45
3298201170,340291.97
3057000400,270718.03
6865200444,476435.62
6071600340,486325.25
6821600005,727421.0
1235100371,688779.9
7796450340,336274.8
3603000410,192061.11
9297300255,494071.9
9126100850,489702.25
2770601462,514541.0
2599001500,209600.62
1102000095,721732.6
1853080640,914648.7
9551201585,814047.75
3438500796,375823.6
7518504291,511490.53
9269200340,443153.06
715010130,1650141.0
1982201485,596607.8
9526500080,395758.6
9277200180,494126.56
6669150280,301884.66
8917100153,590007.0
3760500516,949148.75
2725069050,915986.9
3332000091,316561.06
8562770080,595493.7
8151601190,244656.77
8563040160,590180.9
240000269,652059.56
4307350200,316348.62
1311910300,277446.56
3574900030,529379.9
7853230570,416345.0
320069049,361758.06
9839301060,671598.56
7011201333,632805.94
2781320100,280741.66
3421069120,440105.88
7852030320,441653.6
5316101075,2250212.0
5309100750,533559.3
629000730,765630.44
511700170,312398.66
1562100030,531160.94
2489200230,627898.1
524069116,488260.8
5315100737,995531.7
1868900675,801769.56
1608000120,337865.38
705700240,353581.53
7575600610,274236.16
1778500015,769151.4
5423500240,195811.1
6713700025,321921.16
2734100734,280243.56
301402280,218023.39
2113700205,295077.72
4114601570,3176953.5
3332000615,271221.16
3630050180,352709.25
6852700520,557439.25
6870310010,658498.1
6163900981,293325.8
393000142,392575.8
1771100130,345432.3
1442860160,389250.0
9191200435,580141.75
6788200800,902518.8
1115300070,687694.9
3176600105,725701.9
2770604665,575264.3
5469500580,444975.78
5680000545,486724.3
3424089119,556981.7
1328300180,314712.53
1773100922,353923.28
4123830480,322854.25
9808610190,932615.6
4250200140,277856.2
4217402115,3859789.2
3831250350,374793.5
2397101055,858678.3
6817850110,797045.1
7526800200,608451.5
7853370100,671453.8
2523089025,881517.8
9476200680,255861.73
5714200140,412533.3
3575304895,541480.2
263000018,392338.5
8080400177,485640.25
6450304130,326322.78
514500090,603277.3
9477000300,419696.1
853600310,1355802.1
